model,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.9070262597586941,0.7706013363028953,0.9251336898395722,0.8408262454434994,0.9764111705288177
random_forest,0.9212207239176721,0.7995444191343963,0.9385026737967914,0.8634686346863468,0.9686197008447647
xgboost,0.9212207239176721,0.8329113924050633,0.8796791443850267,0.8556566970091027,0.979206386111757
catboost,0.9198012775017743,0.7959183673469388,0.9385026737967914,0.8613496932515338,0.9818181818181818
